Date,Open
2016-03-16,415.84
2016-03-15,414.83
2016-03-14,412.99
2016-03-13,409.95
2016-03-12,419.14
2016-03-11,416
2016-03-10,412.99
2016-03-09,412.14
2016-03-08,413.96
2016-03-07,406.15
2016-03-06,399.77
2016-03-05,408.18
2016-03-04,420.29
2016-03-03,422.4
2016-03-02,433.33
2016-03-01,436.75
2016-02-29,430.26
2016-02-28,431.07
2016-02-27,432
2016-02-26,423.38
2016-02-25,423.79
2016-02-24,419.1
2016-02-23,438.26
2016-02-22,438.33
2016-02-21,434.63
2016-02-20,419.98
2016-02-19,421.15
2016-02-18,415.59
2016-02-17,407.51
2016-02-16,399.5
2016-02-15,405.5
2016-02-14,390.99
2016-02-13,383
2016-02-12,377.98
2016-02-11,379.34
2016-02-10,373.69
2016-02-09,370.95
2016-02-08,375
2016-02-07,375.39
2016-02-06,384.97
2016-02-05,388
2016-02-04,368.4
2016-02-03,373.05
2016-02-02,371.79
2016-02-01,368.49
2016-01-31,376.38
2016-01-30,378.12
2016-01-29,379.55
2016-01-28,394.62
2016-01-27,391.77
2016-01-26,390.1
2016-01-25,402.16
2016-01-24,386.37
2016-01-23,382.85
2016-01-22,409.42
2016-01-21,418.9
2016-01-20,376.9
2016-01-19,385.47
2016-01-18,379.94
2016-01-17,387.8
2016-01-16,360.62
2016-01-15,429.55
2016-01-14,432.64
2016-01-13,434.78
2016-01-12,448
2016-01-11,448.2
2016-01-10,448.84
2016-01-09,452.02
2016-01-08,456.87
2016-01-07,429.99
2016-01-06,432.45
2016-01-05,433.31
2016-01-04,431.54
2016-01-03,433.2
2016-01-02,434.87
2016-01-01,430.89
2015-12-31,426.09
2015-12-30,431.7
2015-12-29,420.81
2015-12-28,421.78
2015-12-27,417.11
2015-12-26,455.5
2015-12-25,455.78
2015-12-24,443.01
2015-12-23,435.65
2015-12-22,438.14
2015-12-21,442.47
2015-12-20,461.89
2015-12-19,463.7
2015-12-18,455.37
2015-12-17,455.61
2015-12-16,464.53
2015-12-15,443.3
2015-12-14,433.13
2015-12-13,436.08
2015-12-12,453.12
2015-12-11,415.57
2015-12-10,416.69
2015-12-09,416.67
2015-12-08,395.57
2015-12-07,388.54
2015-12-06,388
2015-12-05,363.62
2015-12-04,361.48
2015-12-03,359.11
2015-12-02,362.7
2015-12-01,376.7
2015-11-30,371.2
2015-11-29,356.78
2015-11-28,357.42
2015-11-27,353.9
2015-11-26,328.9
2015-11-25,319.7
2015-11-24,323.48
2015-11-23,324.2
2015-11-22,326.5
2015-11-21,322.04
2015-11-20,326.51
2015-11-19,335.68
2015-11-18,336
2015-11-17,330.82
2015-11-16,319.29
2015-11-15,332.95
2015-11-14,336.98
2015-11-13,337
2015-11-12,309.95
2015-11-11,335.02
2015-11-10,378.02
2015-11-09,372.86
2015-11-08,383.62
2015-11-07,374.41
2015-11-06,387.77
2015-11-05,407.99
2015-11-04,404.55
2015-11-03,361.73
2015-11-02,325.78
2015-11-01,310.9
2015-10-31,328.28
2015-10-30,314.95
2015-10-29,305.67
2015-10-28,295.8
2015-10-27,286.9
2015-10-26,283.96
2015-10-25,283.03
2015-10-24,278.6
2015-10-23,275.21
2015-10-22,267.9
2015-10-21,270.3
2015-10-20,264.28
2015-10-19,260.99
2015-10-18,270.04
2015-10-17,263.09
2015-10-16,254.49
2015-10-15,252.47
2015-10-14,249.97
2015-10-13,245.81
2015-10-12,248.05
2015-10-11,245.71
2015-10-10,244.49
2015-10-09,243.29
2015-10-08,243.47
2015-10-07,246.79
2015-10-06,240.85
2015-10-05,238.6
2015-10-04,239.06
2015-10-03,237.77
2015-10-02,238
2015-10-01,235.87
2015-09-30,236.78
